transaction_date,store_id,store_size,location_type,promotion_type,is_weekend,is_festival,competition_density,items_sold
1/1/2022,28,small,semi-urban,free_gift,1,0,5,224
1/1/2022,5,medium,semi-urban,free_gift,1,1,1,348
1/2/2022,13,small,semi-urban,loyalty_points,1,0,6,249
1/2/2022,17,small,urban,free_gift,1,0,7,259
1/3/2022,50,medium,semi-urban,bogo,0,0,3,277
1/3/2022,40,large,urban,category_offer,0,1,4,411
1/4/2022,45,small,semi-urban,free_gift,0,0,3,193
1/4/2022,32,medium,rural,flat_discount,0,0,1,240
1/5/2022,29,large,urban,free_gift,0,0,8,305
1/5/2022,3,small,rural,loyalty_points,0,0,2,181
1/6/2022,40,medium,urban,bogo,0,0,1,331
1/7/2022,34,medium,semi-urban,bogo,0,0,8,255
1/8/2022,40,medium,rural,flat_discount,1,0,7,270
1/9/2022,27,small,urban,flat_discount,1,1,7,359
1/10/2022,13,medium,urban,bogo,0,0,4,271
1/10/2022,45,large,semi-urban,free_gift,0,0,9,274
1/11/2022,33,medium,urban,flat_discount,0,0,6,334
1/11/2022,6,small,semi-urban,loyalty_points,0,0,2,166
1/11/2022,24,large,rural,category_offer,0,0,1,237
1/12/2022,19,small,semi-urban,free_gift,0,0,1,190
1/12/2022,16,medium,urban,category_offer,0,0,9,271
1/13/2022,40,small,semi-urban,flat_discount,0,0,4,229
1/14/2022,28,large,semi-urban,free_gift,0,0,5,276
1/15/2022,33,medium,urban,category_offer,1,0,3,293
1/15/2022,48,medium,semi-urban,category_offer,1,0,4,280
1/16/2022,41,small,semi-urban,category_offer,1,0,8,186
1/17/2022,13,medium,semi-urban,bogo,0,0,4,276
1/18/2022,43,large,urban,loyalty_points,0,1,9,384
1/18/2022,45,large,semi-urban,flat_discount,0,0,9,251
1/20/2022,25,medium,urban,loyalty_points,0,0,6,213
1/21/2022,42,medium,urban,loyalty_points,0,0,2,303
1/22/2022,36,medium,rural,flat_discount,1,0,7,253
1/23/2022,27,large,semi-urban,category_offer,1,0,9,331
1/23/2022,38,medium,urban,flat_discount,1,0,6,328
1/25/2022,7,medium,urban,bogo,0,0,3,306
1/25/2022,5,medium,urban,free_gift,0,0,7,279
1/25/2022,43,medium,urban,free_gift,0,0,5,252
1/27/2022,45,small,urban,loyalty_points,0,0,1,230
1/27/2022,31,medium,urban,category_offer,0,0,3,261
1/28/2022,23,medium,semi-urban,free_gift,0,0,5,206
1/28/2022,42,large,semi-urban,category_offer,0,0,7,272
1/29/2022,10,small,semi-urban,loyalty_points,1,0,3,224
1/29/2022,32,medium,semi-urban,flat_discount,1,0,6,293
1/29/2022,43,medium,urban,loyalty_points,1,0,5,269
1/29/2022,30,medium,rural,flat_discount,1,0,1,326
2/1/2022,39,small,rural,category_offer,0,0,6,183
2/3/2022,31,medium,rural,bogo,0,0,8,260
2/3/2022,18,medium,rural,flat_discount,0,0,1,234
2/3/2022,36,medium,rural,bogo,0,0,2,210
2/4/2022,2,medium,semi-urban,category_offer,0,0,4,281
2/4/2022,14,medium,urban,bogo,0,0,2,312
2/5/2022,13,large,semi-urban,flat_discount,1,0,9,309
